fixed acidity,volatile acidity,residual sugar,chlorides,total sulfur dioxide,pH,sulphates,wine type
8.4,0.39,1.7,0.075,25,3.09,0.43,red
7.5,0.51,1.7,0.084,31,3.36,0.54,red
7.5,0.51,1.7,0.084,31,3.36,0.54,red
7.5,0.51,1.7,0.084,31,3.36,0.54,red
7.6,0.54,1.7,0.085,31,3.37,0.51,red
7.5,0.51,1.7,0.084,31,3.36,0.54,red
7.3,0.74,1.7,0.094,45,3.24,0.5,red
8.7,0.78,1.7,0.415,66,3,1.17,red
8.7,0.78,1.7,0.415,66,3,1.17,red
7.2,0.33,1.7,0.061,13,3.23,1.1,red
7,0.59,1.7,0.052,8,3.41,0.47,red
8.4,0.29,1.7,0.067,20,3.39,0.6,red
7.9,0.2,1.7,0.054,15,3.32,0.8,red
6.8,0.59,1.7,0.063,53,3.41,0.67,red
6.8,0.59,1.7,0.063,53,3.41,0.67,red
5.6,0.54,1.7,0.049,13,3.72,0.58,red
5.6,0.54,1.7,0.049,13,3.72,0.58,red
7.1,0.53,1.7,0.071,24,3.29,0.66,red
7,0.56,1.7,0.065,24,3.44,0.68,red
6.2,0.56,1.7,0.053,32,3.54,0.6,red
6.2,0.56,1.7,0.053,32,3.54,0.6,red
5.4,0.74,1.7,0.089,26,3.67,0.56,red
8.5,0.18,1.75,0.071,88,3.33,0.76,red
6.9,0.58,1.75,0.058,22,3.38,0.49,red
7.4,0.66,1.8,0.075,40,3.51,0.56,red
6.7,0.58,1.8,0.097,65,3.28,0.54,red
8.5,0.28,1.8,0.092,103,3.3,0.75,red
7.9,0.32,1.8,0.341,56,3.04,1.08,red
8.9,0.22,1.8,0.077,60,3.39,0.53,red
7.6,0.41,1.8,0.08,11,3.28,0.59,red
5.2,0.32,1.8,0.103,50,3.38,0.55,red
6.8,0.67,1.8,0.05,11,3.48,0.52,red
7.7,0.69,1.8,0.115,112,3.21,0.71,red
7.3,0.67,1.8,0.401,51,3.16,1.14,red
6.3,0.3,1.8,0.069,61,3.44,0.78,red
7,0.62,1.8,0.076,24,3.48,0.53,red
7.8,0.56,1.8,0.104,47,3.19,0.93,red
7.8,0.56,1.8,0.104,47,3.19,0.93,red
7,0.69,1.8,0.097,89,3.34,0.54,red
8.1,1.33,1.8,0.082,12,3.54,0.48,red
8,0.59,1.8,0.065,16,3.42,0.92,red
6.1,0.38,1.8,0.072,19,3.42,0.57,red
8.3,0.715,1.8,0.089,52,3.23,0.77,red
8.3,0.715,1.8,0.089,52,3.23,0.77,red
5.2,0.34,1.8,0.05,63,3.68,0.79,red
5.2,0.34,1.8,0.05,63,3.68,0.79,red
8.1,0.67,1.8,0.117,141,3.17,0.62,red
5.8,0.68,1.8,0.087,94,3.54,0.52,red
7.5,0.6,1.8,0.095,99,3.35,0.54,red
7.5,0.6,1.8,0.095,99,3.35,0.54,red
7.5,0.705,1.8,0.36,63,3,1.59,red
7.9,0.885,1.8,0.058,8,3.36,0.33,red
6.8,0.61,1.8,0.077,65,3.54,0.58,red
7.8,0.57,1.8,0.069,120,3.29,0.53,red
8,0.38,1.8,0.078,49,3.37,0.52,red
7.7,0.58,1.8,0.102,109,3.08,0.49,red
7.1,0.6,1.8,0.074,34,3.47,0.7,red
7.1,0.6,1.8,0.074,34,3.47,0.7,red
7.7,0.41,1.8,0.611,45,3.06,1.26,red
7.9,0.37,1.8,0.077,49,3.28,0.67,red
11.8,0.26,1.8,0.071,10,3.2,0.72,red
10.9,0.39,1.8,0.118,14,3.3,0.75,red
10.9,0.39,1.8,0.118,14,3.3,0.75,red
9.1,0.28,1.8,0.067,46,3.32,1.04,red
6.8,0.77,1.8,0.066,52,3.62,0.68,red
8.4,0.37,1.8,0.413,26,3.06,1.06,red
10.4,0.24,1.8,0.075,20,3.18,1.06,red
10.2,0.645,1.8,0.053,14,3.17,0.42,red
10.5,0.24,1.8,0.077,22,3.21,1.05,red
10.4,0.24,1.8,0.075,21,3.25,1.02,red
14.3,0.31,1.8,0.075,15,2.86,0.79,red
10.1,0.28,1.8,0.05,13,3.04,0.79,red
8.3,0.49,1.8,0.222,16,3.18,0.6,red
7.1,0.65,1.8,0.07,40,3.44,0.6,red
8.1,0.38,1.8,0.157,17,3.3,1.05,red
6.4,0.57,1.8,0.067,11,3.46,0.68,red
6.4,0.57,1.8,0.067,11,3.46,0.68,red
7.9,0.4,1.8,0.157,44,3.3,0.92,red
7.9,0.4,1.8,0.157,45,3.31,0.91,red
6.4,0.64,1.8,0.081,31,3.59,0.66,red
6.4,0.64,1.8,0.081,31,3.59,0.66,red
7.4,0.68,1.8,0.078,39,3.5,0.7,red
6.4,0.64,1.8,0.081,31,3.59,0.66,red
6.8,0.56,1.8,0.074,24,3.4,0.82,red
6.8,0.56,1.8,0.074,24,3.4,0.82,red
8.4,0.62,1.8,0.072,46,3.38,0.89,red
8.4,0.62,1.8,0.072,46,3.38,0.89,red
8.9,0.12,1.8,0.075,21,3.41,0.76,red
8.9,0.12,1.8,0.075,21,3.41,0.76,red
8.9,0.12,1.8,0.075,21,3.41,0.76,red
6.8,0.36,1.8,0.067,8,3.36,0.55,red
6.8,0.36,1.8,0.067,8,3.36,0.55,red
7,0.5,1.8,0.078,23,3.53,0.61,red
7.7,0.58,1.8,0.088,18,3.32,0.56,red
7.7,0.58,1.8,0.088,18,3.32,0.56,red
7.3,0.55,1.8,0.093,15,3.35,0.58,red
7.3,0.91,1.8,0.074,56,3.35,0.56,red
7.1,0.43,1.8,0.082,51,3.49,0.64,red
9.3,0.5,1.8,0.084,17,3.27,0.77,red
7.1,0.43,1.8,0.082,51,3.49,0.64,red
11.6,0.23,1.8,0.074,8,3.14,0.7,red
9.1,0.4,1.8,0.071,16,3.21,0.69,red
7.2,0.35,1.8,0.083,75,3.4,0.58,red
7.2,0.38,1.8,0.073,70,3.42,0.59,red
7.2,0.38,1.8,0.073,70,3.42,0.59,red
6.8,0.48,1.8,0.074,64,3.12,0.49,red
6.6,0.5,1.8,0.062,28,3.44,0.55,red
7.4,0.36,1.8,0.075,38,3.38,0.88,red
7,0.22,1.8,0.065,20,3.61,0.82,red
7.8,0.5,1.8,0.178,21,3.28,0.87,red
8.8,0.955,1.8,0.075,19,3.3,0.44,red
7,0.745,1.8,0.114,64,3.22,0.59,red
6.2,0.43,1.8,0.078,56,3.52,0.6,red
8.6,0.42,1.8,0.068,12,3.35,0.69,red
10.9,0.32,1.8,0.132,44,3.28,0.77,red
10.9,0.32,1.8,0.132,44,3.28,0.77,red
5.1,0.42,1.8,0.044,88,3.68,0.73,red
7.4,0.55,1.8,0.082,34,3.49,0.68,red
7.4,0.55,1.8,0.082,34,3.49,0.68,red
7.1,0.72,1.8,0.123,14,3.45,0.58,red
7.5,0.59,1.8,0.082,60,3.1,0.42,red
8.6,0.635,1.8,0.403,56,3.02,1.15,red
8.5,0.37,1.8,0.066,51,3.38,0.72,red
5.5,0.49,1.8,0.044,87,3.5,0.82,red
11.3,0.37,1.8,0.09,47,3.15,0.57,red
8,0.28,1.8,0.081,68,3.36,0.66,red
9.1,0.34,1.8,0.058,18,3.18,0.55,red
9.1,0.36,1.8,0.06,55,3.18,0.82,red
6.5,0.52,1.8,0.073,38,3.34,0.52,red
7.2,0.655,1.8,0.078,12,3.34,0.39,red
7.2,0.655,1.8,0.078,12,3.34,0.39,red
6.1,0.32,1.8,0.086,32,3.36,0.44,red
6.1,0.34,1.8,0.084,28,3.36,0.44,red
6.8,0.83,1.8,0.074,25,3.38,0.45,red
7.1,0.755,1.8,0.107,84,3.19,0.5,red
7.4,0.64,1.8,0.1,23,3.3,0.58,red
7.4,0.64,1.8,0.1,23,3.3,0.58,red
6.6,0.96,1.8,0.082,16,3.5,0.44,red
7.7,0.23,1.8,0.046,60,3.41,0.71,red
7.4,0.41,1.8,0.066,47,3.37,0.62,red
6.1,0.4,1.8,0.069,25,3.42,0.74,red
6,0.54,1.8,0.05,89,3.3,0.5,red
6.1,0.6,1.8,0.071,45,3.38,0.54,red
7.1,0.22,1.8,0.039,18,3.39,0.56,red
6.7,0.76,1.8,0.078,12,3.55,0.63,red
7.9,0.18,1.8,0.062,20,3.28,0.7,red
6.4,0.56,1.8,0.078,65,3.33,0.6,red
7.2,0.39,1.8,0.065,60,3.46,0.78,red
6.5,0.63,1.8,0.059,28,3.36,0.64,red
7.4,0.36,1.8,0.074,24,3.24,0.7,red
6.8,0.67,1.8,0.118,20,3.42,0.67,red
5.8,0.61,1.8,0.066,28,3.55,0.66,red
6.3,0.55,1.8,0.077,35,3.32,0.82,red
7.4,0.7,1.9,0.076,34,3.51,0.56,red
11.2,0.28,1.9,0.075,60,3.16,0.58,red
7.4,0.7,1.9,0.076,34,3.51,0.56,red
7.1,0.71,1.9,0.08,35,3.47,0.55,red
7.5,0.52,1.9,0.085,35,3.38,0.62,red
8,0.705,1.9,0.074,19,3.34,0.95,red
7.7,0.63,1.9,0.076,27,3.32,0.54,red
7.7,0.69,1.9,0.084,94,3.31,0.48,red
7.8,0.43,1.9,0.464,67,3.13,1.28,red
8.6,0.49,1.9,0.11,136,2.93,1.95,red
7.7,0.49,1.9,0.062,31,3.39,0.64,red
7.9,0.52,1.9,0.079,140,3.23,0.54,red
8.6,0.49,1.9,0.11,136,2.93,1.95,red
7.7,0.49,1.9,0.062,31,3.39,0.64,red
8.1,0.545,1.9,0.08,35,3.3,0.59,red
7.8,0.5,1.9,0.075,22,3.31,0.56,red
8.1,0.545,1.9,0.08,35,3.3,0.59,red
8.3,0.54,1.9,0.077,40,3.39,0.61,red
9,0.62,1.9,0.146,90,3.16,0.7,red
8.4,0.745,1.9,0.09,63,3.19,0.82,red
8.4,0.745,1.9,0.09,63,3.19,0.82,red
6.8,0.6,1.9,0.079,86,3.59,0.57,red
7.4,0.62,1.9,0.068,42,3.42,0.57,red
6.7,0.62,1.9,0.079,62,3.52,0.58,red
7.9,0.49,1.9,0.082,144,3.2,0.55,red
6.4,0.37,1.9,0.074,49,3.57,0.62,red
7.5,0.49,1.9,0.076,44,3.39,0.54,red
7.2,0.63,1.9,0.097,38,3.37,0.58,red
7.2,0.63,1.9,0.097,38,3.37,0.58,red
7.2,0.645,1.9,0.097,39,3.37,0.58,red
7.2,0.63,1.9,0.097,38,3.37,0.58,red
7.1,0.68,1.9,0.075,51,3.38,0.52,red
7.7,0.775,1.9,0.092,86,3.23,0.59,red
8.9,0.43,1.9,0.052,16,3.35,0.7,red
7,0.685,1.9,0.067,63,3.6,0.81,red
8.3,0.66,1.9,0.079,42,3.31,0.54,red
7.8,0.46,1.9,0.088,53,3.43,0.74,red
7.1,0.735,1.9,0.1,77,3.27,0.64,red
7,0.58,1.9,0.091,124,3.44,0.48,red
9.5,0.78,1.9,0.077,32,3.26,0.56,red
10.2,0.67,1.9,0.054,17,3.17,0.47,red
10.2,0.67,1.9,0.054,17,3.17,0.47,red
7.8,0.52,1.9,0.081,38,3.43,0.65,red
7.8,0.52,1.9,0.081,38,3.43,0.65,red
10.5,0.26,1.9,0.078,24,3.18,1.04,red
9,0.53,1.9,0.171,25,3.27,0.61,red
12,0.28,1.9,0.074,21,2.98,0.66,red
7.3,0.73,1.9,0.108,102,3.26,0.59,red
11.9,0.58,1.9,0.071,18,3.09,0.63,red
10,0.58,1.9,0.08,32,3.13,0.55,red
7.9,0.35,1.9,0.073,102,3.27,0.58,red
8.9,0.29,1.9,0.067,57,3.18,1.36,red
13.3,0.43,1.9,0.07,40,3.06,0.49,red
6.5,0.615,1.9,0.065,18,3.46,0.65,red
7.8,0.91,1.9,0.058,47,3.51,0.43,red
7.9,0.72,1.9,0.076,32,3.39,0.54,red
7.4,0.53,1.9,0.165,12,3.26,0.86,red
7,0.685,1.9,0.099,22,3.34,0.6,red
9.3,0.43,1.9,0.085,22,3.28,0.55,red
9.3,0.43,1.9,0.085,22,3.28,0.55,red
10.1,0.45,1.9,0.082,18,3.22,0.65,red
8.6,0.22,1.9,0.064,77,3.47,0.87,red
6.6,0.61,1.9,0.08,25,3.69,0.73,red
7.6,0.4,1.9,0.078,66,3.45,0.59,red
6.6,0.61,1.9,0.08,25,3.69,0.73,red
8.5,0.21,1.9,0.09,23,3.36,0.67,red
8.5,0.47,1.9,0.058,38,3.16,0.85,red
8.5,0.47,1.9,0.058,38,3.16,0.85,red
10.4,0.26,1.9,0.066,10,3.33,0.87,red
10.4,0.26,1.9,0.066,10,3.33,0.87,red
9.1,0.5,1.9,0.065,17,3.32,0.71,red
9.5,0.86,1.9,0.079,28,3.25,0.62,red
9.1,0.5,1.9,0.065,17,3.32,0.71,red
7.9,0.31,1.9,0.066,36,3.41,0.56,red
8,0.38,1.9,0.098,15,3.3,0.64,red
10,0.26,1.9,0.083,74,2.98,0.63,red
8.2,0.23,1.9,0.069,17,3.21,0.54,red
10.7,0.4,1.9,0.081,29,3.12,0.65,red
9.1,0.6,1.9,0.058,10,3.18,0.63,red
8.5,0.44,1.9,0.369,38,3.01,1.1,red
7.9,0.34,1.9,0.065,10,3.27,0.54,red
9.6,0.38,1.9,0.071,13,3.15,0.75,red
10.2,0.33,1.9,0.081,9,3.1,0.48,red
8.2,0.34,1.9,0.057,74,3.23,0.81,red
8.2,0.4,1.9,0.082,24,3.24,0.69,red
7.8,0.7,1.9,0.079,35,3.4,0.69,red
5.9,0.46,1.9,0.077,44,3.5,0.53,red
7,0.69,1.9,0.114,10,3.35,0.6,red
7.1,0.46,1.9,0.077,54,3.37,0.64,red
7.1,0.46,1.9,0.077,54,3.37,0.64,red
7.6,0.74,1.9,0.1,12,3.36,0.59,red
7.5,0.755,1.9,0.084,12,3.34,0.49,red
7.5,0.61,1.9,0.073,88,3.3,0.53,red
7.5,0.61,1.9,0.073,88,3.3,0.53,red
8,1.18,1.9,0.083,41,3.34,0.47,red
7.6,0.645,1.9,0.086,57,3.37,0.46,red
7.6,0.645,1.9,0.086,57,3.37,0.46,red
7.2,0.605,1.9,0.096,31,3.46,0.53,red
7.8,0.64,1.9,0.072,55,3.31,0.63,red
6.9,0.63,1.9,0.078,30,3.4,0.75,red
6.9,0.63,1.9,0.078,30,3.4,0.75,red
6.8,0.67,1.9,0.08,39,3.4,0.74,red
6.9,0.58,1.9,0.08,54,3.4,0.73,red
7.6,0.49,1.9,0.074,85,3.41,0.58,red
7.6,0.49,1.9,0.074,85,3.41,0.58,red
6,0.64,1.9,0.066,17,3.52,0.78,red
7.7,0.54,1.9,0.089,147,3.26,0.59,red
7,0.43,1.9,0.08,28,3.35,0.81,red
7.7,0.54,1.9,0.089,147,3.26,0.59,red
6.9,0.48,1.9,0.082,23,3.39,0.43,red
8,0.39,1.9,0.074,84,3.39,0.61,red
6.1,0.53,1.9,0.077,45,3.6,0.68,red
5.4,0.58,1.9,0.059,31,3.5,0.64,red
6.7,0.855,1.9,0.064,38,3.3,0.56,red
6.7,0.67,1.9,0.061,42,3.39,0.82,red
6.2,0.51,1.9,0.056,34,3.48,0.57,red
6.8,0.62,1.9,0.068,38,3.42,0.82,red
7.8,0.58,2,0.073,18,3.36,0.57,red
7.8,0.645,2,0.082,16,3.38,0.59,red
7,0.735,2,0.081,54,3.39,0.57,red
9.3,0.32,2,0.074,65,3.28,0.79,red
6.7,0.75,2,0.086,80,3.38,0.52,red
7.4,0.5,2,0.086,73,3.36,0.57,red
8.6,0.49,2,0.11,133,2.93,1.98,red
7,0.5,2,0.07,22,3.25,0.63,red
8.1,0.785,2,0.122,153,3.21,0.69,red
7.8,0.56,2,0.082,28,3.37,0.5,red
8,0.745,2,0.118,134,3.24,0.66,red
7.2,0.415,2,0.081,45,3.48,0.64,red
7.8,0.56,2,0.081,108,3.32,0.54,red
7.6,0.95,2,0.09,20,3.2,0.56,red
8,0.42,2,0.073,18,3.29,0.61,red
8,0.42,2,0.073,18,3.29,0.61,red
7.3,0.38,2,0.08,35,3.33,0.47,red
7.3,0.38,2,0.08,35,3.33,0.47,red
8.9,0.61,2,0.27,110,3.12,1.02,red
8.9,0.31,2,0.111,85,3.26,0.53,red
7.4,0.39,2,0.082,67,3.34,0.55,red
7.9,0.5,2,0.084,143,3.2,0.55,red
7.8,0.59,2,0.074,120,3.25,0.54,red
11.5,0.3,2,0.067,27,3.11,0.97,red
9.7,0.53,2,0.039,19,3.3,0.86,red
8.7,0.625,2,0.101,49,3.14,0.57,red
7.8,0.34,2,0.082,58,3.34,0.59,red
7.4,0.53,2,0.101,72,3.15,0.57,red
8.6,0.645,2,0.083,28,3.28,0.6,red
8.4,0.635,2,0.089,55,3.31,0.57,red
8.9,0.59,2,0.337,81,3.04,1.61,red
7.3,0.66,2,0.084,23,3.61,0.96,red
7.3,0.66,2,0.084,23,3.61,0.96,red
7,0.975,2,0.087,67,3.35,0.6,red
12,0.45,2,0.073,49,3.1,0.76,red
11,0.2,2,0.343,18,3.3,0.71,red
7.1,0.63,2,0.083,29,3.67,0.73,red
7.9,0.53,2,0.072,105,3.27,0.54,red
10.7,0.46,2,0.061,15,3.18,0.62,red
8.2,0.7,2,0.099,81,3.19,0.7,red
